2,18,104.35,950,20,0.29
2,18,104.3333333,951,20,0.29
2,18,104.3166667,950,20,0.29
2,18,104.3,952,20,0.29
2,18,104.2833333,951,20,0.29
2,18,104.2666667,947,21,0.28
2,18,104.25,943,21,0.28
2,18,104.2333333,945,21,0.28
2,18,104.2166667,942,21,0.28
2,18,104.2,938,21,0.28
2,18,104.1833333,938,21,0.28
2,18,104.1666667,947,21,0.28
2,18,104.15,948,21,0.28
2,18,104.1333333,948,21,0.28
2,18,104.1166667,949,21,0.28
2,18,104.1,950,21,0.28
2,18,104.0833333,950,21,0.29
2,18,104.0666667,949,21,0.28
2,18,104.05,946,21,0.28
2,18,104.0333333,944,21,0.28
2,18,104.0166667,945,21,0.28
2,18,104,949,21,0.28
2,18,103.9833333,941,21,0.28
2,18,103.9666667,942,21,0.28
2,18,103.95,936,21,0.28
2,18,103.9333333,932,21,0.27
2,18,103.9166667,926,21,0.27
2,18,103.9,923,21,0.27
2,18,103.8833333,920,21,0.27
2,18,103.8666667,920,21,0.27
2,18,103.85,920,21,0.27
2,18,103.8333333,910,21,0.27
2,18,103.8166667,898,21,0.27
2,18,103.8,884,21,0.27
2,18,103.7833333,880,21,0.27
2,18,103.7666667,879,21,0.27
2,18,103.75,892,21,0.27
2,18,103.7333333,890,21,0.27
2,18,103.7166667,888,21,0.27
2,18,103.7,886,21,0.27
2,18,103.6833333,887,21,0.27
2,18,103.6666667,893,21,0.27
2,18,103.65,898,21,0.27
2,18,103.6333333,905,21,0.27
2,18,103.6166667,908,21,0.27
2,18,103.6,908,21,0.27
2,18,103.5833333,909,21,0.27
2,18,103.5666667,909,21,0.27
2,18,103.55,909,21,0.27
2,18,103.5333333,911,21,0.27
2,18,103.5166667,916,21,0.27
2,18,103.5,915,21,0.27
2,18,103.4833333,916,21,0.27
2,18,103.4666667,915,21,0.27
2,18,103.45,915,21,0.27
2,18,103.4333333,916,21,0.27
2,18,103.4166667,920,21,0.27
2,18,103.4,938,21,0.27
2,18,103.3833333,953,21,0.27
2,18,103.3666667,968,21,0.27
2,18,103.35,968,21,0.28
2,18,103.3333333,966,21,0.28
2,18,103.3166667,965,21,0.27
2,18,103.3,965,21,0.27
2,18,103.2833333,963,21,0.27
2,18,103.2666667,959,21,0.27
2,18,103.25,955,21,0.27
2,18,103.2333333,953,21,0.27
2,18,103.2166667,971,21,0.28
2,18,103.2,978,21,0.28
2,18,103.1833333,965,21,0.28
2,18,103.1666667,966,21,0.29
2,18,103.15,967,21,0.29
2,18,103.1333333,980,21,0.29
2,18,103.1166667,1018,21,0.30
2,18,103.1,980,21,0.29
2,18,103.0833333,967,21,0.29
2,18,103.0666667,975,21,0.29
2,18,103.05,952,21,0.29
2,18,103.0333333,947,21,0.29
2,18,103.0166667,945,21,0.29
2,18,103,940,21,0.29
2,18,102.9833333,938,21,0.29
2,18,102.9666667,938,21,0.29
2,18,102.95,941,21,0.30
2,18,102.9333333,979,20,0.30
2,18,102.9166667,967,20,0.30
2,18,102.9,913,20,0.30
2,18,102.8833333,905,20,0.30
2,18,102.8666667,903,20,0.30
2,18,102.85,903,20,0.30
2,18,102.8333333,905,20,0.30
2,18,102.8166667,904,20,0.30
2,18,102.8,903,20,0.30
2,18,102.7833333,902,20,0.30
2,18,102.7666667,900,20,0.30
2,18,102.75,899,20,0.30
2,18,102.7333333,894,20,0.30
2,18,102.7166667,881,20,0.30
2,18,102.7,879,20,0.30
2,18,102.6833333,881,20,0.30
2,18,102.6666667,883,20,0.30
2,18,102.65,879,20,0.30
2,18,102.6333333,876,20,0.30
2,18,102.6166667,876,20,0.30
2,18,102.6,879,20,0.30
2,18,102.5833333,888,20,0.30
2,18,102.5666667,903,20,0.31
2,18,102.55,903,20,0.31
2,18,102.5333333,904,19,0.31
2,18,102.5166667,900,19,0.31
2,18,102.5,897,19,0.30
2,18,102.4833333,896,19,0.30
2,18,102.4666667,896,19,0.31
2,18,102.45,890,19,0.31
2,18,102.4333333,880,19,0.31
2,18,102.4166667,880,19,0.31
2,18,102.4,883,19,0.31
2,18,102.3833333,880,19,0.31
2,18,102.3666667,881,19,0.31
2,18,102.35,881,19,0.32
2,18,102.3333333,881,19,0.32
2,18,102.3166667,881,19,0.32
2,18,102.3,880,19,0.32
2,18,102.2833333,878,19,0.32
2,18,102.2666667,871,19,0.32
2,18,102.25,861,19,0.32
2,18,102.2333333,857,19,0.32
2,18,102.2166667,849,19,0.32
2,18,102.2,848,19,0.32
2,18,102.1833333,846,19,0.32
2,18,102.1666667,843,19,0.32
2,18,102.15,842,19,0.32
2,18,102.1333333,842,19,0.32
2,18,102.1166667,842,19,0.32
2,18,102.1,841,19,0.32
2,18,102.0833333,839,19,0.32
2,18,102.0666667,835,19,0.33
2,18,102.05,833,19,0.33
2,18,102.0333333,831,19,0.33
2,18,102.0166667,830,19,0.33
2,18,102,829,19,0.33
2,18,101.9833333,828,19,0.33
2,18,101.9666667,828,19,0.34
2,18,101.95,828,19,0.34
2,18,101.9333333,828,19,0.34
2,18,101.9166667,828,19,0.34
2,18,101.9,827,19,0.34
2,18,101.8833333,826,19,0.34
2,18,101.8666667,825,18,0.34
2,18,101.85,825,18,0.33
2,18,101.8333333,824,18,0.33
2,18,101.8166667,824,18,0.33
2,18,101.8,826,18,0.34
2,18,101.7833333,826,18,0.34
2,18,101.7666667,825,18,0.33
2,18,101.75,825,18,0.33
2,18,101.7333333,824,18,0.33
2,18,101.7166667,823,18,0.33
2,18,101.7,821,18,0.33
2,18,101.6833333,823,18,0.33
2,18,101.6666667,824,18,0.33
2,18,101.65,823,18,0.33
2,18,101.6333333,823,18,0.32
2,18,101.6166667,823,18,0.32
2,18,101.6,823,18,0.32
2,18,101.5833333,825,18,0.32
2,18,101.5666667,827,18,0.32
2,18,101.55,829,18,0.32
2,18,101.5333333,830,18,0.32
2,18,101.5166667,829,17,0.32
2,18,101.5,827,17,0.32
2,18,101.4833333,826,17,0.32
2,18,101.4666667,828,17,0.32
2,18,101.45,827,17,0.32
2,18,101.4333333,829,17,0.32
2,18,101.4166667,829,17,0.32
2,18,101.4,829,17,0.32
2,18,101.3833333,828,17,0.32
2,18,101.3666667,829,17,0.32
2,18,101.35,827,17,0.32
2,18,101.3333333,827,17,0.32
2,18,101.3166667,826,17,0.32
2,18,101.3,817,17,0.32
2,18,101.2833333,813,17,0.32
2,18,101.2666667,808,17,0.32
2,18,101.25,803,17,0.32
2,18,101.2333333,796,17,0.32
2,18,101.2166667,788,16,0.32
2,18,101.2,786,16,0.32
2,18,101.1833333,787,16,0.32
2,18,101.1666667,784,16,0.32
2,18,101.15,784,16,0.32
2,18,101.1333333,787,16,0.32
2,18,101.1166667,798,16,0.32
2,18,101.1,800,16,0.32
2,18,101.0833333,801,16,0.32
2,18,101.0666667,802,16,0.32
2,18,101.05,804,16,0.32
2,18,101.0333333,806,16,0.32
2,18,101.0166667,807,16,0.32
2,18,101,808,16,0.32
2,18,100.9833333,809,16,0.32
2,18,100.9666667,809,16,0.32
2,18,100.95,807,16,0.32
2,18,100.9333333,807,16,0.32
2,18,100.9166667,808,16,0.32
2,18,100.9,807,16,0.32
2,18,100.8833333,805,16,0.32
2,18,100.8666667,804,16,0.32
2,18,100.85,807,16,0.32
2,18,100.8333333,809,16,0.32
2,18,100.8166667,810,16,0.32
2,18,100.8,809,16,0.32
2,18,100.7833333,810,16,0.32
2,18,100.7666667,812,16,0.32
2,18,100.75,813,16,0.32
2,18,100.7333333,813,16,0.32
2,18,100.7166667,812,16,0.32
2,18,100.7,813,16,0.32
2,18,100.6833333,812,16,0.32
2,18,100.6666667,808,16,0.32
2,18,100.65,804,16,0.32
2,18,100.6333333,804,16,0.32
2,18,100.6166667,805,16,0.32
2,18,100.6,809,16,0.32
2,18,100.5833333,811,16,0.32
2,18,100.5666667,813,16,0.32
2,18,100.55,813,16,0.32
2,18,100.5333333,813,16,0.32
2,18,100.5166667,813,16,0.32
2,18,100.5,814,16,0.32
2,18,100.4833333,814,16,0.32
2,18,100.4666667,814,16,0.32
2,18,100.45,816,16,0.32
2,18,100.4333333,815,16,0.32
2,18,100.4166667,814,16,0.32
2,18,100.4,814,16,0.32
2,18,100.3833333,815,16,0.32
2,18,100.3666667,816,16,0.32
2,18,100.35,812,16,0.32
2,18,100.3333333,807,16,0.32
2,18,100.3166667,809,16,0.32
2,18,100.3,811,16,0.32
2,18,100.2833333,813,16,0.32
2,18,100.2666667,814,16,0.32
2,18,100.25,814,16,0.32
2,18,100.2333333,813,16,0.32
2,18,100.2166667,814,16,0.32
2,18,100.2,815,16,0.32
2,18,100.1833333,816,16,0.32
2,18,100.1666667,815,16,0.32
2,18,100.15,816,16,0.32
2,18,100.1333333,816,16,0.32
2,18,100.1166667,815,16,0.32
2,18,100.1,816,16,0.32
2,18,100.0833333,816,16,0.32
2,18,100.0666667,817,16,0.32
2,18,100.05,817,16,0.32
2,18,100.0333333,817,16,0.32
2,18,100.0166667,818,16,0.32
2,18,100,817,16,0.32
2,18,99.98333333,817,16,0.32
2,18,99.96666667,816,16,0.32
2,18,99.95,817,16,0.32
2,18,99.93333333,818,16,0.32
2,18,99.91666667,818,16,0.32
2,18,99.9,818,16,0.32
2,18,99.88333333,818,16,0.32
2,18,99.86666667,818,16,0.32
2,18,99.85,819,16,0.32
2,18,99.83333333,821,16,0.33
2,18,99.81666667,820,16,0.33
2,18,99.8,820,16,0.33
2,18,99.78333333,820,16,0.33
2,18,99.76666667,820,16,0.33
2,18,99.75,821,16,0.33
2,18,99.73333333,822,17,0.33
2,18,99.71666667,821,16,0.33
2,18,99.7,821,16,0.33
2,18,99.68333333,822,16,0.33
2,18,99.66666667,822,16,0.33
2,18,99.65,822,16,0.33
2,18,99.63333333,821,16,0.33
2,18,99.61666667,823,16,0.33
2,18,99.6,823,16,0.33
2,18,99.58333333,823,16,0.33
2,18,99.56666667,823,17,0.33
2,18,99.55,824,16,0.33
2,18,99.53333333,824,16,0.33
2,18,99.51666667,824,16,0.33
2,18,99.5,824,16,0.33
2,18,99.48333333,823,16,0.33
2,18,99.46666667,823,17,0.33
2,18,99.45,823,17,0.33
2,18,99.43333333,822,16,0.33
2,18,99.41666667,823,16,0.33
2,18,99.4,824,17,0.33
2,18,99.38333333,823,17,0.33
2,18,99.36666667,823,16,0.33
2,18,99.35,823,16,0.33
2,18,99.33333333,823,16,0.33
2,18,99.31666667,823,16,0.33
2,18,99.3,823,16,0.33
2,18,99.28333333,822,16,0.33
2,18,99.26666667,822,16,0.33
2,18,99.25,823,17,0.33
2,18,99.23333333,824,17,0.33
2,18,99.21666667,823,17,0.33
2,18,99.2,823,16,0.33
2,18,99.18333333,823,16,0.33
2,18,99.16666667,824,17,0.33
2,18,99.15,823,17,0.33
2,18,99.13333333,821,17,0.33
2,18,99.11666667,821,16,0.33
2,18,99.1,822,16,0.33
2,18,99.08333333,824,16,0.33
2,18,99.06666667,823,16,0.33
2,18,99.05,824,16,0.33
2,18,99.03333333,824,16,0.33
2,18,99.01666667,824,16,0.33
2,18,99,824,17,0.33
2,18,98.98333333,823,17,0.33
2,18,98.96666667,823,16,0.33
2,18,98.95,823,16,0.33
2,18,98.93333333,824,16,0.33
2,18,98.91666667,824,17,0.33
2,18,98.9,824,17,0.33
2,18,98.88333333,824,17,0.33
2,18,98.86666667,823,17,0.33
2,18,98.85,822,17,0.33
2,18,98.83333333,823,17,0.33
2,18,98.81666667,824,17,0.33
2,18,98.8,823,17,0.33
2,18,98.78333333,823,17,0.33
2,18,98.76666667,825,17,0.33
2,18,98.75,826,17,0.33
2,18,98.73333333,825,17,0.33
2,18,98.71666667,826,17,0.33
2,18,98.7,827,17,0.33
2,18,98.68333333,826,17,0.33
2,18,98.66666667,828,17,0.33
2,18,98.65,828,17,0.33
2,18,98.63333333,828,17,0.33
2,18,98.61666667,828,17,0.33
2,18,98.6,827,17,0.33
2,18,98.58333333,827,17,0.33
2,18,98.56666667,828,17,0.33
2,18,98.55,828,17,0.33
2,18,98.53333333,827,17,0.33
2,18,98.51666667,829,17,0.33
2,18,98.5,829,17,0.33
2,18,98.48333333,829,17,0.33
2,18,98.46666667,827,17,0.33
2,18,98.45,829,17,0.33
2,18,98.43333333,828,17,0.33
2,18,98.41666667,829,17,0.33
2,18,98.4,828,17,0.33
2,18,98.38333333,829,17,0.33
2,18,98.36666667,829,17,0.33
2,18,98.35,829,17,0.33
2,18,98.33333333,831,17,0.33
2,18,98.31666667,832,17,0.33
2,18,98.3,832,17,0.33
2,18,98.28333333,832,17,0.33
2,18,98.26666667,833,17,0.33
2,18,98.25,833,17,0.33
2,18,98.23333333,829,17,0.33
2,18,98.21666667,832,17,0.33
2,18,98.2,832,17,0.33
2,18,98.18333333,832,17,0.33
2,18,98.16666667,832,17,0.33
2,18,98.15,832,17,0.33
2,18,98.13333333,832,17,0.33
2,18,98.11666667,833,17,0.33
2,18,98.1,835,17,0.33
2,18,98.08333333,833,17,0.33
2,18,98.06666667,834,17,0.33
2,18,98.05,834,17,0.33
2,18,98.03333333,834,17,0.33
2,18,98.01666667,835,17,0.33
2,18,98,836,17,0.33
2,18,97.98333333,836,17,0.33
2,18,97.96666667,836,17,0.33
2,18,97.95,836,17,0.33
2,18,97.93333333,836,17,0.33
2,18,97.91666667,836,17,0.33
2,18,97.9,835,17,0.33
2,18,97.88333333,836,17,0.33
2,18,97.86666667,836,17,0.33
2,18,97.85,837,17,0.33
2,18,97.83333333,837,17,0.33
2,18,97.81666667,836,17,0.33
